id,question,answer,source,evidence_anchor
001,What is the technical term for a cat hairball?,Bezoar,cat.txt,Bezoar
002,What is a group of cats called?,A clowder,cat.txt,A clowder
003,On average what fraction of the day do cats spend sleeping?,Two thirds,cat.txt,Two thirds
004,How long has a nine year old cat been awake if it sleeps two thirds of the time?,About three years,cat.txt,2/3
005,Do cats have a sweet tooth like dogs?,No,cat.txt,Do
006,What do scientists believe causes cats to not have a sweet tooth?,A mutation in a key taste receptor,cat.txt,A mutation in a key taste receptor
007,When a cat chases prey how does it hold its head?,It keeps its head level,cat.txt,It keeps its head level
008,Compared with cats what do dogs and humans do when chasing or running?,They bob their heads up and down,cat.txt,They bob their heads up and down
009,About how many different sounds do cats make?,About 100,cat.txt,About 100
010,About how many different sounds do dogs make?,About 10,cat.txt,About 10
011,Cats brains are biologically more similar to whose brains than to dogs?,Humans,cat.txt,Humans
012,What part of the brain do humans and cats share identically according to the text?,Regions responsible for emotions,cat.txt,Regions responsible for emotions
013,Approximately how many domestic cats are there in the world?,More than 500 million,cat.txt,More than 500 million
014,Approximately how many recognized cat breeds are mentioned?,About 40,cat.txt,About 40
015,Where was the oldest known pet cat found?,A 9500 year old grave on Cyprus,cat.txt,A 9500 year old grave on Cyprus
016,How much earlier does the Cyprus grave predate early Egyptian cat art?,About 4000 years or more,cat.txt,About 4000 years or more
017,Which Pope condemned cats as evil during the Spanish Inquisition?,Pope Innocent VIII,cat.txt,Pope Innocent VIII
018,What unintended effect did killing many cats have during the Spanish Inquisition?,Rat population exploded,cat.txt,Rat population exploded
019,What major disease effects were worsened by the rat population explosion?,The Black Death effects,cat.txt,The Black Death effects
020,On St Johns Day in the Middle Ages what did people do with cats in parts of Europe?,Stuffed them in sacks and tossed them into bonfires,cat.txt,Stuffed them in sacks and tossed them into bonfires
021,What other Middle Ages practice is mentioned on holy days regarding cats?,Tossing cats from church towers,cat.txt,Tossing cats from church towers
022,How many cats are there in North America compared to dogs?,73 million cats vs 63 million dogs,cat.txt,73 million cats vs 63 million dogs
023,Over what percentage of North American households own a cat?,Over 30 percent,cat.txt,Over 30 percent
024,What was the first cat in space named?,Felicette,cat.txt,Felicette
025,What nickname is given for Felicette?,Astrocat,cat.txt,Astrocat
026,In what year did France blast Felicette into space?,1963,cat.txt,1963
027,What did implanted electrodes in Felicettes brain send back to Earth?,Neurological signals,cat.txt,Neurological signals
028,Did Felicette survive the trip?,Yes,cat.txt,Felicette
029,What Latin word meaning domestic cat is referenced as a root for cat related words?,Catus,cat.txt,Catus
030,What Latin word meaning wild cat is contrasted with catus?,Feles,cat.txt,Feles
031,Approximately how many people are bitten by cats annually in the US?,About 40000,cat.txt,About 40000
032,In Hebrew legend what did God make the lion do to create a cat?,Sneeze,cat.txt,Sneeze
033,In the legend why did Noah pray to God?,To protect stored food from rats,cat.txt,To protect stored food from rats
034,Is a cats hearing better than a dogs according to the text?,Yes,cat.txt,Is
035,How many octaves higher than humans can cats hear high frequency sounds?,Up to two octaves higher,cat.txt,Up to two octaves higher
036,What top speed can a cat reach over a short distance?,About 31 mph,cat.txt,About 31 mph
037,What is that top speed in km per hour?,About 49 km per hour,cat.txt,About 49 km per hour
038,How high can a cat jump relative to its own height in a single bound?,Up to five times its height,cat.txt,Up to five times its height
039,What record cat survived the longest non fatal fall?,Andy,cat.txt,Andy
040,From what floor did Andy fall?,16th floor,cat.txt,16th floor
041,About how high was Andys fall?,About 200 feet,cat.txt,About 200 feet
042,What is the richest cat named in the text?,Blackie,cat.txt,Blackie
043,How much money was Blackie left?,15 million pounds,cat.txt,15 million pounds
044,Who left Blackie the money?,Ben Rea,cat.txt,Ben Rea
045,How many toes do cats have on each front paw?,Five,cat.txt,Five
046,How many toes do cats have on each back paw?,Four,cat.txt,Four
047,What is the term for cats born with extra toes?,Polydactyl,cat.txt,Polydactyl
048,Do extra toes in polydactyl cats harm the cat according to the text?,No,cat.txt,Do
049,What should you do with a polydactyl cats claws?,Keep them trimmed,cat.txt,Keep them trimmed
050,What is the inner eyelid of a cat called?,Nictitating membrane,cat.txt,Nictitating membrane
051,What does the nictitating membrane help protect the eyes from?,Dryness and damage,cat.txt,Dryness and damage
052,When might the inner eyelid be visible to an observer?,When the cat is ill,cat.txt,When the cat is ill
053,Can a cat see directly under its nose?,No,cat.txt,Can
054,Why can a cat miss tidbits on the floor directly under it?,It cannot see under its nose,cat.txt,It cannot see under its nose
055,What eye sign indicates a frightened or excited cat?,Large round pupils,cat.txt,Large round pupils
056,What eye sign indicates an angry cat?,Narrow pupils,cat.txt,Narrow pupils
057,Is pupil size related only to light levels?,No it also relates to emotions,cat.txt,No it also relates to emotions
058,Can cats see blue green and red according to recent studies?,Yes,cat.txt,Can
059,What disability is common in white cats with blue eyes?,Deafness,cat.txt,Deafness
060,If a white cat has only one blue eye where is it likely deaf?,In the ear closest to the blue eye,cat.txt,In the ear closest to the blue eye
061,Do white cats with orange eyes have the same deafness issue?,No,cat.txt,Do
062,Why are white cats with white ears at higher risk outdoors?,They are prone to sunburn,cat.txt,They are prone to sunburn
063,Frequent sunburns in white cats can lead to what?,Skin cancer,cat.txt,Skin cancer
064,What prevention measures are suggested for sunburn prone cats?,Sunscreen or keeping indoors,cat.txt,Sunscreen or keeping indoors
065,How high can a cat jump relative to its height in another statement?,Even seven times as high as it is tall,cat.txt,Even seven times as high as it is tall
066,What absorbs shock when a cat lands from a jump?,Footpads,cat.txt,Footpads
067,What bone do cats lack that helps them squeeze through openings?,A true collarbone,cat.txt,A true collarbone
068,What rule of thumb is given for how small an opening a cat can fit through?,Any space its head can fit through,cat.txt,Any space its head can fit through
069,If left to her own devices how many kittens may a female cat have every four months?,Three to seven,cat.txt,Three to seven
070,How long is a cats pregnancy?,About 58 to 65 days,cat.txt,About 58 to 65 days
071,Who teaches kittens to use the litter box?,Mother cats,cat.txt,Mother cats
072,Early treatment of kittens influences what later?,Personality traits,cat.txt,Personality traits
073,Is the cat a social animal according to the text?,Yes,cat.txt,Is
074,What does a pet cat do in response to speech?,Respond and answer,cat.txt,Respond and answer
075,What companionship do cats seem to enjoy?,Human companionship,cat.txt,Human companionship
076,What average lifespan is given for a domestic cat?,14 years,cat.txt,14 years
077,When well treated how long can a cat live according to the text?,Twenty years or more,cat.txt,Twenty years or more
078,What effect does neutering have on cat lifespan?,Extends by two or three years,cat.txt,Extends by two or three years
079,Do cats get cancer according to the text?,Yes especially older cats,cat.txt,Yes especially older cats
080,Can cat cancer be treated successfully sometimes?,Yes,cat.txt,Can
081,Can cats taste sweets?,No,cat.txt,Can
082,Why must cats have fat in their diet?,They cannot produce it on their own,cat.txt,They cannot produce it on their own
083,Name one common houseplant listed as poisonous to cats.,English Ivy,cat.txt,English Ivy
084,Name another poisonous plant listed for cats.,Philodendron,cat.txt,Philodendron
085,Name another poisonous plant listed for cats.,Mistletoe,cat.txt,Mistletoe
086,Name another poisonous plant listed for cats.,Iris,cat.txt,Iris
087,Name another poisonous plant listed for cats.,Yew,cat.txt,Yew
088,According to the text is Tylenol poisonous to cats?,Yes,cat.txt,According
089,According to the text is chocolate poisonous to cats?,Yes,cat.txt,According
090,Can many cats properly digest cows milk?,No,cat.txt,Can
091,What can milk and milk products cause in many cats?,Diarrhea,cat.txt,Diarrhea
092,The average cat food meal is equivalent to about how many mice?,Five mice,cat.txt,Five mice
093,How can cats get tapeworms according to the text?,By eating fleas,cat.txt,By eating fleas
094,How else can cats get tapeworms according to the text?,By eating mice,cat.txt,By eating mice
095,How do tapeworms reproduce according to the text?,By shedding a link from the end of their body,cat.txt,By shedding a link from the end of their body
096,Where do tapeworm eggs end up in the cycle described?,Injected by flea larvae,cat.txt,Injected by flea larvae
097,How could humans get these tapeworms according to the text?,By eating infected fleas,cat.txt,By eating infected fleas
098,What should be done for cats with tapeworms?,Dewormed by a veterinarian,cat.txt,Dewormed by a veterinarian
099,Though rare cats can contract what type of heart worms?,Canine heart worms,cat.txt,Canine heart worms
100,What is said about AB blood groups in cats?,Cats have AB blood groups like people,cat.txt,Cats have AB blood groups like people
101,A form of what human disease exists in cats?,AIDS,cat.txt,AIDS
102,In cats what determines Siamese point color according to the text?,Heat or temperature,cat.txt,Heat or temperature
103,Why are Siamese kittens born white according to the text?,Uterus heat prevents darkening,cat.txt,Uterus heat prevents darkening
104,What are people allergic to when they say they are allergic to cats?,Cat saliva or cat dander,cat.txt,Cat saliva or cat dander
105,Regular bathing of the resident cat helps allergic people do what?,Tolerate it better,cat.txt,Tolerate it better
106,Cat allergens are related to what according to the text?,Scent glands,cat.txt,Scent glands
107,Where are cat scent glands mentioned?,Faces and base of tails,cat.txt,Faces and base of tails
108,Which cats generate the most scent gland secretion?,Entire male cats,cat.txt,Entire male cats
109,Which cats might allergic people tolerate best according to the text?,Spayed female cats,cat.txt,Spayed female cats
110,According to the text cats think humans are what?,Big cats,cat.txt,Big cats
111,Cats are subject to what dental problems?,Gum disease and dental caries,cat.txt,Gum disease and dental caries
112,How often should cats have teeth cleaned according to the text?,Once a year,cat.txt,Once a year
113,What protozoan disease do some people fear catching from cats?,Toxoplasmosis,cat.txt,Toxoplasmosis
114,Toxoplasmosis can cause what serious outcome in unborn babies?,Birth defects,cat.txt,Birth defects
115,According to the text toxoplasmosis is most often caused by eating what?,Raw or rare beef,cat.txt,Raw or rare beef
116,Who should not touch the cat litter box according to the text?,Pregnant women and immunosuppressed people,cat.txt,Pregnant women and immunosuppressed people
117,What is named as the ancestor of all domestic cats?,African Wild Cat,cat.txt,African Wild Cat
118,In ancient Egypt killing a cat was punishable by what?,Death,cat.txt,Death
119,What were placed with cat mummies in their tombs?,Embalmed mice,cat.txt,Embalmed mice
120,During the Festival of Saint John in the Middle Ages what happened to cats?,They were burned alive in town squares,cat.txt,They were burned alive in town squares
121,Where was the first cat show mentioned?,Crystal Palace in London,cat.txt,Crystal Palace in London
122,In what year was the first cat show mentioned?,1871,cat.txt,1871
123,About how many distinct domestic cat breeds are stated today?,About 100,cat.txt,About 100
124,Cats bury their feces for what purpose?,To cover trails from predators,cat.txt,To cover trails from predators
125,How many hours per day do cats sleep according to another line?,16 to 18 hours,cat.txt,16 to 18 hours
126,Even while asleep cats are still alert to what?,Incoming stimuli,cat.txt,Incoming stimuli
127,Besides smelling with their nose cats can smell with what organ?,Jacobsons organ,cat.txt,Jacobsons organ
128,Where is Jacobsons organ located?,Upper surface of the mouth,cat.txt,Upper surface of the mouth
129,What does chlorine in fresh tap water do to cats noses?,Irritates sensitive parts,cat.txt,Irritates sensitive parts
130,How long should tap water sit before giving it to a cat?,24 hours,cat.txt,24 hours
131,Relative to its body size which cat has the biggest canines?,Clouded leopard,cat.txt,Clouded leopard
132,How long can the clouded leopards dagger like canines be?,1.8 inches,cat.txt,1.8 inches
133,What is 1.8 inches expressed in centimeters in the text?,4.5 cm,cat.txt,4.5 cm
134,How much of waking hours do cats spend cleaning themselves?,Nearly one third,cat.txt,Nearly one third
135,How many teeth do grown cats have?,30 teeth,cat.txt,30 teeth
136,How many temporary teeth do kittens have?,About 26,cat.txt,About 26
137,At about what age do kittens lose temporary teeth?,About 6 months,cat.txt,About 6 months
138,What cat had the known record for the most kittens?,Dusty,cat.txt,Dusty
139,About how many kittens did Dusty have in her lifetime?,More than 420,cat.txt,More than 420
140,What is the largest cat breed mentioned?,Ragdoll,cat.txt,Ragdoll
141,What is the weight range for male Ragdolls?,12 to 20 lbs,cat.txt,12 to 20 lbs
142,What is the weight range for female Ragdolls?,10 to 15 lbs,cat.txt,10 to 15 lbs
143,Cats are said to detect earthquake tremors how many minutes before humans?,10 to 15 minutes,cat.txt,10 to 15 minutes
144,Compared to dogs have cats undergone major changes in domestication?,No,cat.txt,Compared
145,What is a female cat called?,A queen or a molly,cat.txt,A queen or a molly
146,What did two Russian biologists discover in the 1930s about Siamese kittens?,Color depends on body temperature,cat.txt,Color depends on body temperature
147,Above what temperature do Siamese albino genes work according to the text?,98 degrees Fahrenheit,cat.txt,98 degrees Fahrenheit
148,What happens if Siamese kittens are left in a very warm room?,Points will not darken,cat.txt,Points will not darken
149,How many feral cats are there in the US alone according to the text?,Up to 60 million,cat.txt,Up to 60 million
150,What is the oldest cat to give birth mentioned?,Kitty,cat.txt,Kitty
151,How old was Kitty when she gave birth?,30 years,cat.txt,30 years
152,How many kittens did Kitty give birth to at age 30?,Two kittens,cat.txt,Two kittens
153,How many kittens did Kitty give birth to over her life?,218 kittens,cat.txt,218 kittens
154,What was the most traveled cat named?,Hamlet,cat.txt,Hamlet
155,How did Hamlet become the most traveled cat?,Escaped carrier on a flight and hid,cat.txt,Escaped carrier on a flight and hid
156,How long did Hamlet hide?,Seven weeks,cat.txt,Seven weeks
157,How far had Hamlet traveled by the time he was discovered?,About 373000 miles,cat.txt,About 373000 miles
158,What is the approximate distance in kilometers given for Hamlet?,600000 km,cat.txt,600000 km
159,What was the most expensive cat described?,Zeus,cat.txt,Zeus
160,What kind of hybrid was Zeus?,Asian Leopard cat and Domestic Shorthair,cat.txt,Asian Leopard cat and Domestic Shorthair
161,What was Zeuss hybrid percentage composition?,90 percent ALC and 10 percent DSH,cat.txt,90 percent ALC and 10 percent DSH
162,What was Zeuss asking price in pounds?,100000 pounds,cat.txt,100000 pounds
163,What was the dollar figure listed with Zeuss price?,154000 dollars,cat.txt,154000 dollars
164,Why are back paw claws not as sharp as front paw claws?,They do not retract and become worn,cat.txt,They do not retract and become worn
165,What kind of coat do cats have that makes it true fur?,An undercoat and an outer coat,cat.txt,An undercoat and an outer coat
166,How long after birth do kittens ear canals begin to open?,Nine days,cat.txt,Nine days
167,What color are kittens eyes when they first open?,Blue,cat.txt,Blue
168,Do most cats have eyelashes?,No,cat.txt,Do
169,What is the belief about cats seeing color that the text disputes?,That cats are color blind,cat.txt,That cats are color blind
170,What is said about cats ability to meow at other cats?,They almost never meow at another cat,cat.txt,They almost never meow at another cat
171,Who do cats mostly meow at according to the text?,Humans,cat.txt,Humans
172,What sounds do cats typically use with other cats instead of meowing?,Spit purr and hiss,cat.txt,Spit purr and hiss
173,How many vertebrae can a cats back have according to the text?,Up to 53,cat.txt,Up to 53
174,How many vertebrae do humans have according to the text?,34,cat.txt,34
175,About what fraction of cat owners think pets can read minds?,About one third,cat.txt,About one third
176,Which cat family member does not sheath claws when at rest?,Cheetah,cat.txt,Cheetah
177,Name one cat family member distinct from all others mentioned.,Clouded leopard,cat.txt,Clouded leopard
178,Name the other distinct cat family member mentioned.,Cheetah,cat.txt,Cheetah
179,What is unique about the cheetah compared to other cats in the text?,It is a running cat,cat.txt,It is a running cat
180,What is unique about other cats in the text compared to cheetah?,They are leaping cats,cat.txt,They are leaping cats
181,Why are other cats described as leaping cats?,They stalk then leap on prey,cat.txt,They stalk then leap on prey
182,What is a cat lover called?,Ailurophilia,cat.txt,Ailurophilia
183,In Japan cats are thought to turn into what when they die?,Super spirits,cat.txt,Super spirits
184,According to the text why might Japan have that belief?,Body is temporary resting place of spiritual people,cat.txt,Body is temporary resting place of spiritual people
185,How many muscles control the outer ear in cats?,32,cat.txt,32
186,How many muscles control the outer ear in humans?,6,cat.txt,6
187,How far can cats rotate their ears independently?,180 degrees,cat.txt,180 degrees
188,Why do kittens sleep so much according to the text?,Growth hormone released only during sleep,cat.txt,Growth hormone released only during sleep
189,About how many hairs per square inch do cats have?,About 130000,cat.txt,About 130000
190,What is the heaviest cat on record mentioned?,Himmy,cat.txt,Himmy
191,How much did Himmy weigh?,Nearly 47 pounds,cat.txt,Nearly 47 pounds
192,Where was Himmy from?,Queensland Australia,cat.txt,Queensland Australia
193,How old was Himmy when he died?,10,cat.txt,10
194,What was the oldest cat on record mentioned?,Creme Puff,cat.txt,Creme Puff
195,When did Creme Puff live from?,1967 to August 6 2005,cat.txt,1967 to August 6 2005
196,How long after her 38th birthday did Creme Puff die?,Three days after,cat.txt,Three days after
197,What is the lightest cat on record mentioned?,Tinker Toy,cat.txt,Tinker Toy
198,How much did Tinker Toy weigh?,1 pound 6 ounces,cat.txt,1 pound 6 ounces
199,What is the tiniest cat on record mentioned?,Mr Pebbles,cat.txt,Mr Pebbles
200,What was the question situation in Who Wants to be a Millionaire after answering 250000?,Decide to walk away or answer 500000,HW1-2025.pdf,Decide to walk away or answer 500000
